guid,title,pubDate,description,link,media
b'https://www.livemint.com/companies/news/mahindra-and-mahindras-canada-based-associate-resson-aerospace-files-for-a-voluntary-windup-11695273951852.html',"b""Mahindra &amp; Mahindra's Canada-based associate Resson Aerospace files for a voluntary wind-up; shares down by 2.2%""","b'Thu, 21 Sep 2023 11:02:51 +0530'","b'Mahindra &amp;amp; Mahindra company\xe2\x80\x99s associate Resson Aerospace, Canada has filed for a voluntary winding-up, company said in its BSE filing on Thursday'",b'https://www.livemint.com/companies/news/mahindra-and-mahindras-canada-based-associate-resson-aerospace-files-for-a-voluntary-windup-11695273951852.html',https://www.livemint.com/lm-img/img/2023/09/21/1600x900/Canada_1695273978236_1695273978456.jpg
b'https://www.livemint.com/companies/people/who-is-apoorva-mehta-instacart-founder-who-gained-1-1-billion-from-his-exit-from-the-startup-post-ipo-stock-surge-11695268448185.html',"b'Who is Apoorva Mehta, the Instacart founder who gained $1.1 billion with his exit from the startup post IPO-stock surge'","b'Thu, 21 Sep 2023 09:39:17 +0530'",b'Instacart co-founder Apoorva Mehta has separated from the company after making $1.1 billion from its IPO launch. He will remain the largest shareholder. ',b'https://www.livemint.com/companies/people/who-is-apoorva-mehta-instacart-founder-who-gained-1-1-billion-from-his-exit-from-the-startup-post-ipo-stock-surge-11695268448185.html',https://www.livemint.com/lm-img/img/2023/09/21/1600x900/Instacart_1694050244201_1695268464540.jpg
b'https://www.livemint.com/companies/news/hdfc-amc-gets-rbi-approval-to-acquire-up-to-9-5-stake-in-karur-vysya-bank-11695266021054.html',"b'HDFC AMC gets RBI approval to acquire up to 9.5% stake in Karur Vysya Bank, DCB Bank'","b'Thu, 21 Sep 2023 08:53:35 +0530'",b'RBI grants approval to HDFC AMC for acquiring up to 9.5% stake in Karur Vysya Bank',b'https://www.livemint.com/companies/news/hdfc-amc-gets-rbi-approval-to-acquire-up-to-9-5-stake-in-karur-vysya-bank-11695266021054.html',https://www.livemint.com/lm-img/img/2023/09/21/1600x900/Karur_Vysya_Bank_1695266570526_1695266570736.jpg
b'https://www.livemint.com/companies/news/adidas-ceo-doubts-if-kanye-wests-antisemitic-remarks-were-serious-11695259465311.html',"b""Adidas CEO doubts if Kanye West's antisemitic remarks were serious""","b'Thu, 21 Sep 2023 07:08:48 +0530'","b'Adidas CEO doubts Kanye West meant offensive remarks, despite ending partnership over them last year.'",b'https://www.livemint.com/companies/news/adidas-ceo-doubts-if-kanye-wests-antisemitic-remarks-were-serious-11695259465311.html',https://www.livemint.com/lm-img/img/2023/09/21/1600x900/ADIDAS-RESULTS--0_1692249826557_1695260280040.JPG
b'https://www.livemint.com/companies/news/jip-buys-78-65-per-cent-share-of-toshiba-through-tender-offer-close-to-complete-14-billion-takeover-11695257047447.html',"b'JIP buys 78.65% share of Toshiba through tender offer, close to complete $14 billion takeover'","b'Thu, 21 Sep 2023 06:38:56 +0530'","b'Japan Industrial Partners-led consortium gains 78.65% stake in Toshiba, bringing the $14bn deal to take the company private a step closer.'",b'https://www.livemint.com/companies/news/jip-buys-78-65-per-cent-share-of-toshiba-through-tender-offer-close-to-complete-14-billion-takeover-11695257047447.html',https://www.livemint.com/lm-img/img/2023/09/21/1600x900/Toshiba_1695257315148_1695257315355.JPG
b'https://www.livemint.com/companies/start-ups/bittersweet-story-of-craft-chocolate-makers-11695241748112.html',b'Bitter-sweet story of craft chocolate makers',"b'Thu, 21 Sep 2023 02:07:38 +0530'","b'Everyone loves the bonbons. But, where are the venture capital firms?'",b'https://www.livemint.com/companies/start-ups/bittersweet-story-of-craft-chocolate-makers-11695241748112.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/chocolate_1695242164038_1695242192664.JPG
b'https://www.livemint.com/companies/news/perfios-acquires-open-finance-platform-fegoai-11695235692680.html',b'Perfios acquires open finance platform Fego.ai',"b'Thu, 21 Sep 2023 00:25:01 +0530'","b""Perfios acquires Fego.ai, an open finance platform, in an \xe2\x80\x98acqui-hire\xe2\x80\x99 deal. Fego's team will join Perfios.""",b'https://www.livemint.com/companies/news/perfios-acquires-open-finance-platform-fegoai-11695235692680.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/VRG_1695235999722_1695236004995.jpeg
b'https://www.livemint.com/companies/total-may-lead-adani-plan-to-raise-1-5-bn-for-green-power-11695235956444.html',b'Total may lead Adani plan to raise $1.5 bn for green power',"b'Thu, 21 Sep 2023 00:24:46 +0530'",b'MNC\xe2\x80\x99s $300 mn investment in JV with Adani Green settles doubts about its commitment',b'https://www.livemint.com/companies/total-may-lead-adani-plan-to-raise-1-5-bn-for-green-power-11695235956444.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/ADANI-INDIA-OCCRP-0_1694849517899_1695236010210.JPG
b'https://www.livemint.com/companies/news/manipal-acquires-84-stake-in-amri-for-2-300-crore-11695235412264.html',"b'Manipal acquires 84% stake in AMRI for  \xe2\x82\xb92,300 crore'","b'Thu, 21 Sep 2023 00:18:21 +0530'","b'As part of a strategy to divest its non-core assets, Emami will retain some stake in AMRI'",b'https://www.livemint.com/companies/news/manipal-acquires-84-stake-in-amri-for-2-300-crore-11695235412264.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/2-0-302228373--DSC0585-MINU-0_1680698435387_1695235621861.JPG
b'https://www.livemint.com/companies/news/exupgrad-chief-arjun-mohan-to-be-byju-s-next-india-ceo-11695235413996.html',b'Ex-UpGrad chief Arjun Mohan to be Byju\xe2\x80\x99s next India CEO',"b'Thu, 21 Sep 2023 00:17:43 +0530'",b'Mohan assumes the role at a time when the embattled online tutor is trying to monetize non-core assets to repay loans.',b'https://www.livemint.com/companies/news/exupgrad-chief-arjun-mohan-to-be-byju-s-next-india-ceo-11695235413996.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/ArjunMohan_1673353996433_1695235595243.jfif
b'https://www.livemint.com/companies/news/strideone-in-talks-to-acquire-ev-tech-startup-moeving-11695235101782.html',b'StrideOne in talks to acquire EV tech startup MoEVing',"b'Thu, 21 Sep 2023 00:12:34 +0530'",b'The potential deal is likely to facilitate Stride\xe2\x80\x99s entry into the last-mile EV financing sector',b'https://www.livemint.com/companies/news/strideone-in-talks-to-acquire-ev-tech-startup-moeving-11695235101782.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Ishpreet_Gandhi_1695235139239_1695235153974.jpg
b'https://www.livemint.com/companies/news/devans-ventures-into-premium-spirits-11695235025335.html',b'DeVANS ventures into premium spirits',"b'Thu, 21 Sep 2023 00:11:39 +0530'","b'DeVANS Modern Breweries aims to diversify into various spirit categories, including premium gin, whisky, and stout beer. They are developing a premium craft gin and two highly matured single malts to capitalize on the growing demand for premium Indian spirits.'",b'https://www.livemint.com/companies/news/devans-ventures-into-premium-spirits-11695235025335.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Prem_Dewan_High_Res_Profile_Image_1695235221284_1695235233996.jpg
b'https://www.livemint.com/companies/news/bombay-hc-asks-pilots-to-reply-to-akasa-plea-11695234822976.html',b'Bombay HC asks pilots to reply to Akasa plea',"b'Thu, 21 Sep 2023 00:07:47 +0530'",b'The airline has approached the court seeking a stay against 43 pilots who resigned suddenly and failed to serve mandatory six-month notice periods',b'https://www.livemint.com/companies/news/bombay-hc-asks-pilots-to-reply-to-akasa-plea-11695234822976.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Akasa_Air_1694926152922_1695234909687.jpg
b'https://www.livemint.com/companies/news/naveen-jindal-eyes-africa-with-steel-mill-power-plant-11695234920546.html',"b'Naveen Jindal eyes Africa with steel mill, power plant'","b'Thu, 21 Sep 2023 00:07:36 +0530'","b'As part of the plan, Vulcan Steel, a privately held company by the Jindal family, has decided to build a 3 million tonne per annum (mtpa) capacity steel plant'",b'https://www.livemint.com/companies/news/naveen-jindal-eyes-africa-with-steel-mill-power-plant-11695234920546.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Naveen-Jindal--chairman-of-Jindal-Steel---Power--J_1695057865114_1695234938976.jpg
b'https://www.livemint.com/companies/people/sanjiv-puri-heres-what-he-had-to-say-about-itcs-innovation-hub-11695234900243.html',"b""Sanjiv Puri: Here's what he had to say about ITC's innovation hub""","b'Thu, 21 Sep 2023 00:07:29 +0530'","b""ITC's innovation hub in Bengaluru, the Life Sciences and Technology Centre, celebrated its 50th anniversary. The centre has focused investments in talent, infrastructure, and collaborations, leading to numerous innovations and over 800 patent applications""",b'https://www.livemint.com/companies/people/sanjiv-puri-heres-what-he-had-to-say-about-itcs-innovation-hub-11695234900243.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/INDIA-B20-ECONOMY-1_1695234987994_1695235001783.jpg
b'https://www.livemint.com/companies/news/akasa-gets-nod-to-fly-overseas-11695234564305.html',b'Akasa gets nod to fly overseas',"b'Thu, 21 Sep 2023 00:03:18 +0530'",b'Aviation regulator to look into availability of bilateral air traffic rights following approval granted to the airline',b'https://www.livemint.com/companies/news/akasa-gets-nod-to-fly-overseas-11695234564305.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/vinay_dube_1695234715303_1695234723085.jpg
b'https://www.livemint.com/companies/news/nclat-ruling-paves-way-for-hindustan-national-glass-insolvency-resolution-11695221291244.html',b'NCLAT ruling paves way for Hindustan National Glass insolvency resolution',"b'Wed, 20 Sep 2023 20:27:33 +0530'",b'The NCLAT upheld an insolvency tribunal order that had rejected Independent Sugar Corp. Ltd\xe2\x80\x99s (INSCO) plea against rival bidder AGI Greenpac',b'https://www.livemint.com/companies/news/nclat-ruling-paves-way-for-hindustan-national-glass-insolvency-resolution-11695221291244.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/courthammer_1557756059083_1695221415454.jpg
b'https://www.livemint.com/companies/news/government-to-sell-4-9-stake-in-sjvn-via-ofs-details-here-11695217738728.html',b'Government to sell 4.9% stake in SJVN via OFS. Details here',"b'Wed, 20 Sep 2023 19:21:31 +0530'",b'Offer for sale in SJVN opens tomorrow for non-retail investors. Retail investors can bid on Friday. Government will divest 4.92% equity including a Green Shoe option of 2.46%.',b'https://www.livemint.com/companies/news/government-to-sell-4-9-stake-in-sjvn-via-ofs-details-here-11695217738728.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/ead37a36-2136-11ec-a123-3c1816142380_1632936770833_1695219094550.jpg
b'https://www.livemint.com/companies/news/can-the-sudden-exit-of-43-pilots-shut-down-akasa-air-11695215292237.html',b'Can the sudden exit of 43 pilots shut down Akasa Air?',"b'Wed, 20 Sep 2023 18:49:41 +0530'",b'The airline had reportedly said that the abrupt departure may even cause a shutdown. Mint spoke to Akasa and industry experts for a deep-dive perspective',b'https://www.livemint.com/companies/news/can-the-sudden-exit-of-43-pilots-shut-down-akasa-air-11695215292237.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Passenger-slaps-Akasa-Airlines-staff-at-Lucknow-ai_1695201269705_1695215886580.jpg
b'https://www.livemint.com/companies/news/after-reliance-and-tata-group-nvidia-to-collaborate-with-infosys-to-help-firms-with-generative-ai-11695211147675.html',b'Infosys to train 50k employees on Nvidia AI stack',"b'Wed, 20 Sep 2023 17:32:56 +0530'","b'Applications of the strategic partnership will be made available to Infosys\xe2\x80\x99 clients, as demand and capability ramp-up'",b'https://www.livemint.com/companies/news/after-reliance-and-tata-group-nvidia-to-collaborate-with-infosys-to-help-firms-with-generative-ai-11695211147675.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Jensen_Huang_1695211293891_1695211294130.jpg
b'https://www.livemint.com/companies/news/byjus-indias-mrinal-mohit-steps-down-arjun-mohan-to-succeed-as-ceo-report-11695207472135.html',"b""Byju's India's Mrinal Mohit steps down; Arjun Mohan to succeed as CEO""","b'Wed, 20 Sep 2023 16:34:30 +0530'","b'Arjun Mohan, who was a part of the founding team and last served as the Chief Business Officer, rejoined the company recently. He spent the last three months working closely with the founder and Group CEO Byju Raveendran.'",b'https://www.livemint.com/companies/news/byjus-indias-mrinal-mohit-steps-down-arjun-mohan-to-succeed-as-ceo-report-11695207472135.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Byjus_1694576304962_1695207655902.JPG
b'https://www.livemint.com/companies/news/totalenergies-to-invest-300-million-in-jv-with-adani-green-energy-11695206181370.html',b'TotalEnergies to invest $300 million in JV with Adani Green Energy',"b'Wed, 20 Sep 2023 16:09:56 +0530'",b'TotalEnergies to invest $300 million in a joint venture with Adani Green Energy for renewable energy project.',b'https://www.livemint.com/companies/news/totalenergies-to-invest-300-million-in-jv-with-adani-green-energy-11695206181370.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/ADANI-GREEN-INVESTMENT-TOTAL-ENEREG-0_1695206265722_1695206299162.JPG
b'https://www.livemint.com/companies/news/akasa-air-set-to-reduce-flights-after-several-pilots-quit-abruptly-11695199455285.html',b'Akasa Air set to reduce flights after several pilots quit abruptly',"b'Wed, 20 Sep 2023 14:58:02 +0530'","b'Budget carrier Akasa Air reduces flights due to resignations, will give up market share for stable operations.'",b'https://www.livemint.com/companies/news/akasa-air-set-to-reduce-flights-after-several-pilots-quit-abruptly-11695199455285.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/INDIA-MUMBAI-FLIGHTS-1_1695201295396_1695201314443.jpg
b'https://www.livemint.com/companies/news/qantas-former-ceo-alan-joyce-takes-almost-900-pay-rise-but-bonus-cut-amid-pending-lawsuit-11695197048360.html',"b'Qantas former CEO Alan Joyce takes almost 900% pay rise, but bonus cut amid pending lawsuit'","b'Wed, 20 Sep 2023 14:15:19 +0530'","b'Former Qantas CEO Alan Joyce received a 872% pay increase when he left the company, claiming long-term incentives.'",b'https://www.livemint.com/companies/news/qantas-former-ceo-alan-joyce-takes-almost-900-pay-rise-but-bonus-cut-amid-pending-lawsuit-11695197048360.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/Alan_Joyce_1695199489332_1695199489563.jpg
b'https://www.livemint.com/companies/walt-disney-nearly-doubles-parks-spending-to-invest-60-billion-over-next-decade-11695172414733.html',"b'Walt Disney nearly doubles parks spending, to invest $60 billion over next decade'","b'Wed, 20 Sep 2023 08:15:05 +0530'",b'Disney plans to invest $60 billion in its parks business over the next decade to drive long-term growth.',b'https://www.livemint.com/companies/walt-disney-nearly-doubles-parks-spending-to-invest-60-billion-over-next-decade-11695172414733.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/JAPAN-ENTERTAINMENT-DISNEY-ANNIVERSARY-6_1682599789772_1695172897990.jpg
b'https://www.livemint.com/companies/news/hdfc-bank-s-jagdishan-gets-3-yr-extension-11695151595365.html',b'HDFC Bank\xe2\x80\x99s Jagdishan gets 3-year extension',"b'Wed, 20 Sep 2023 00:59:09 +0530'",b'Sashidhar Jagdishan joined the bank in 1996 as a manager in the finance function and became business head of finance in 1999',b'https://www.livemint.com/companies/news/hdfc-bank-s-jagdishan-gets-3-yr-extension-11695151595365.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/3-0-112822110-Sashidhar-Jagdishan--ABH0061-0_1679843355305_1695151666577.JPG
b'https://www.livemint.com/companies/news/hdfc-bank-may-face-margin-net-worth-hit-11695151336165.html',"b'HDFC Bank may face margin, net worth hit'","b'Wed, 20 Sep 2023 00:55:51 +0530'","b'Net interest margin may narrow 25bps due to the combined effect of incremental cash reserve ratio and excess liquidity, analysts cited chief financial officer Srinivasan Vaidyanathan as saying'",b'https://www.livemint.com/companies/news/hdfc-bank-may-face-margin-net-worth-hit-11695151336165.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/INDIA-SEBI-HDFC-BANK-0_1688144781720_1695151486353.JPG
b'https://www.livemint.com/companies/news/to-mitigate-risks-india-needs-two-vibrant-bourses-11695150765382.html',"b'To mitigate risks, India needs two vibrant bourses, says BSE CEO'","b'Wed, 20 Sep 2023 00:47:20 +0530'","b""Investors have given a thumbs up to Ramamurthy\xe2\x80\x99s efforts, with BSE's stock rising 128% from  \xe2\x82\xb9547.3 on 4 January to  \xe2\x82\xb91,246.35 on 18 September""",b'https://www.livemint.com/companies/news/to-mitigate-risks-india-needs-two-vibrant-bourses-11695150765382.html',https://www.livemint.com/lm-img/img/2023/09/20/1600x900/BSE_1684265445379_1695174481955.jpg
b'https://www.livemint.com/companies/news/yet-to-finalize-pe-ipo-route-to-raise-funds-unicommerce-11695148999471.html',"b'Yet to finalize PE, IPO route to raise funds: Unicommerce'","b'Wed, 20 Sep 2023 00:20:17 +0530'","b'According to CEO Kapil Makhija, an IPO is on the cards despite headwinds and funding challenges faced by tech startups'",b'https://www.livemint.com/companies/news/yet-to-finalize-pe-ipo-route-to-raise-funds-unicommerce-11695148999471.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/lenskart_1695149205182_1695149255501.jpg
b'https://www.livemint.com/companies/news/deepak-chahar-launches-dnine-sports-a-line-of-cricket-gear-and-clothing-to-support-young-athletes-in-india-11695149109399.html',"b'Chahar debuts brand for sports gear, shoes'","b'Wed, 20 Sep 2023 00:15:08 +0530'","b'The company\xe2\x80\x99s sports line will feature cricket shoes, accessories, clothing, and more. It will operate under LCDC Athletics Pvt Ltd, with both the cricketer and his father, Lokendra Singh Chahar, serving as co-founders.'",b'https://www.livemint.com/companies/news/deepak-chahar-launches-dnine-sports-a-line-of-cricket-gear-and-clothing-to-support-young-athletes-in-india-11695149109399.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Cricketer-Deepak-Chahar_1695149102385.png
b'https://www.livemint.com/companies/news/hansgrohe-plans-to-expand-presence-in-indian-bathroom-solutions-market-with-new-ceramics-line-11695148807052.html',b'Hansgrohe to expand bathroom portfolio',"b'Wed, 20 Sep 2023 00:10:06 +0530'","b'The luxury segment constitutes 4-6% of the Indian market, compared to 40% in developed markets like Germany. In China, it\xe2\x80\x99s 15-20%.'",b'https://www.livemint.com/companies/news/hansgrohe-plans-to-expand-presence-in-indian-bathroom-solutions-market-with-new-ceramics-line-11695148807052.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Hansgrohe-India-MD-Gaurav-Malhotra_1695148802443.jpeg
b'https://www.livemint.com/companies/news/we-aim-to-double-jeep-compass-sales-in-india-by-end-dec-11695147985077.html',b'\xe2\x80\x98We aim to double Jeep Compass sales in India by end Dec\xe2\x80\x99',"b'Wed, 20 Sep 2023 00:08:55 +0530'",b'Stellantis plans to double sales of the Jeep Compass SUV in India by the end of 2023 with an affordable variant.',b'https://www.livemint.com/companies/news/we-aim-to-double-jeep-compass-sales-in-india-by-end-dec-11695147985077.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/Aditya_Jairaj_1695148613638_1695148631480.jpeg
b'https://www.livemint.com/companies/news/indigo-stops-serving-beverages-in-cans-onboard-flights-11695140747961.html',"b""This Indian airline stops serving beverages in cans onboard flights. Here's why""","b'Tue, 19 Sep 2023 23:02:38 +0530'","b'IndiGo stops serving beverages in cans onboard flights, offers complimentary glass of juice or coke with a snack purchase'",b'https://www.livemint.com/companies/news/indigo-stops-serving-beverages-in-cans-onboard-flights-11695140747961.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/IndiGo_1695144381559_1695144381745.JPG
b'https://www.livemint.com/companies/news/psu-bank-rally-raises-concerns-as-volumes-hit-record-highs-but-analysts-remain-hopeful-for-sustained-growth-11695143166985.html',b'Analysts allay fears of exuberance in public sector banks',"b'Tue, 19 Sep 2023 22:36:06 +0530'","b'After the one month rally through 18 September some of the smaller banks in the 12-member index have valuations topping those of larger peers SBI, Bank of Baroda and Punjab National Bank.'",b'https://www.livemint.com/companies/news/psu-bank-rally-raises-concerns-as-volumes-hit-record-highs-but-analysts-remain-hopeful-for-sustained-growth-11695143166985.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/PSBs_1695147448635_1695147448912.jpg
b'https://www.livemint.com/companies/news/lessors-should-move-division-bench-of-high-court-go-first-rp-11695132458338.html',b'Lessors should move division bench of High Court: Go First RP',"b'Tue, 19 Sep 2023 19:40:59 +0530'",b'The RP argued that the single bench of the court should not pass any directives',b'https://www.livemint.com/companies/news/lessors-should-move-division-bench-of-high-court-go-first-rp-11695132458338.html',https://www.livemint.com/lm-img/img/2023/09/19/1600x900/INDIA-GO-FIRST-BANKS-0_1688980282991_1695132632984.JPG
